,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
161,41,465,11.34,625.43,15.25,13.58,5.0,83.39,134.22,0.0,0.0,29.49,23.55,168.38,74.29,14.93,12.0,28.12,3.0,0.0,12.33,1.1,9.33,0.0,0.0,5.0
162,140,716,5.11,998.3,7.13,20.05,300.0,90.22,156.69,1.69,0.0,37.94,21.92,79.69,36.03,40.27,0.0,30.72,18.71,5.94,36.06,0.0,0.0,0.0,1.56,4.0
163,34,486,14.29,522.05,15.35,17.68,0.0,31.15,57.34,7.19,0.0,4.92,27.53,142.65,75.62,25.74,0.0,30.15,0.8,3.38,1.75,2.55,3.26,0.0,0.0,5.0
164,27,251,9.3,240.01,8.89,27.91,0.0,19.38,80.07,0.0,0.0,0.0,3.95,30.33,11.22,7.08,0.0,13.45,3.2,0.0,24.22,0.0,2.56,0.0,7.31,5.0
165,24,529,22.04,601.44,25.06,21.75,0.0,19.02,323.06,0.0,12.15,18.29,35.11,90.29,74.2,29.28,0.0,23.63,5.36,0.0,11.04,0.0,2.38,0.0,0.0,1.0
166,55,239,4.35,283.32,5.15,11.08,20.0,92.48,45.07,0.0,0.0,3.4,3.0,21.98,16.19,14.95,0.0,3.98,5.32,0.0,16.94,0.0,4.87,0.0,3.92,5.0
167,40,276,6.9,236.66,5.92,36.61,0.0,54.69,39.82,2.55,0.0,0.0,8.15,4.65,72.44,3.2,0.0,4.91,2.32,0.0,0.59,0.0,0.5,0.0,2.38,5.0
168,126,949,7.53,940.31,7.46,12.26,45.0,255.55,88.22,0.0,0.0,0.0,19.8,102.65,22.09,27.9,7.0,12.99,16.35,0.0,4.84,2.55,6.47,0.0,1.49,4.0
169,41,509,12.41,637.97,15.56,17.14,0.0,27.87,70.43,7.33,0.0,0.0,52.71,92.69,68.15,34.98,0.0,132.61,6.29,0.0,4.01,2.11,1.18,0.0,11.93,5.0
170,91,338,3.71,401.89,4.42,7.14,0.0,25.59,29.99,0.89,0.0,49.72,4.27,73.94,27.37,30.65,15.0,0.0,3.05,0.0,24.92,4.06,1.23,0.0,4.95,4.0
171,72,689,9.57,1007.53,13.99,19.25,0.0,46.52,112.8,0.0,0.0,86.54,22.66,183.29,56.49,14.46,0.0,192.71,2.99,0.0,31.06,5.25,4.82,0.0,5.84,4.0
172,37,1173,31.7,1535.3,41.49,42.29,0.0,91.61,193.64,18.26,0.0,40.45,46.87,316.87,249.32,68.51,0.0,174.88,12.09,0.0,24.79,0.0,19.51,0.0,1.56,1.0
173,38,367,9.66,472.62,12.44,3.49,0.0,20.32,47.1,12.02,0.0,54.4,21.17,143.52,31.53,29.49,0.0,31.33,5.96,2.72,16.4,0.0,0.55,0.0,4.66,5.0
174,92,654,7.11,711.94,7.74,33.85,0.0,155.73,117.16,40.97,0.0,29.54,14.93,24.56,36.36,29.8,36.0,7.47,13.6,0.0,44.03,0.0,33.93,0.0,6.19,0.0
